"Enabled","Aktiviert"
"Customers per pass","Kunden pro Transfer"
"Create Inxmail column","Inxmail-Spalte erstellen"
"Create","Erstellen"
"Column name","Spaltenname"
"Column length","Spaltenlänge"
"Column type","Spaltentyp"
"Text","Text"
"Date and time","Datum und Uhrzzeit"
"Date only","nur Datum"
"Time only","nur Uhrzeit"
"Integer","Ganzzahl"
"Float","Gleitkommazahl"
"Yes / No","Ja / Nein"
"The migration of newsletter subscribers to inxmail is a process that should be performed for every store once manually. This process transfer and update all existing newsletter subscribers from magento newsletter system to the defined inxmail list according the following rules:<ul style='list-style-type: circle; padding-left: 2em;'><li>If an email address of a subscriber is already in the list of Inxmail, the registration status in Inxmail is not changed for this subscriber. In this case, the status is taken from Inxmail to Magento (registration status responsibility lies by Inxmail)</li><li>If there is subscriber in Magento, but not in Inxmail (for various reasons), he become subscribed in Inxmail (without opt-in procedure) (login status-responsibility lies on Magento).</li><li>A subscriber who does not have status ""registered"" by existence check in Inxmail is not transmitted</li></ul>","Die Migration der Newsletter-Empfänger an Inxmail ist ein Prozess der je Store-View Konfiguration manuell einmal ausgeführt werden sollte. Dieser Prozess vereinigt sämtliche derzeit in Magento verwalteten Empfänger mit den Empfängern der entsprechenden Liste in Inxmail nach folgenden Regeln:<ul style='list-style-type: circle; padding-left: 2em;'><li>Wenn eine Email-Adresse eines Empfängers bereits in der Liste von Inxmail vorhanden ist, so wird der Anmeldestatus in Inxmail für diesen Empfänger nicht verändert. In diesem Fall wird in Magento der Status aus Inxmail übernommen (Anmeldestatus-Verantwortung liegt in Inxmail)</li><li>Ist ein in Magento angemeldeter Empfänger nicht in Inxmail vorhanden (aus unterschiedlichen Gründen), so wird er in Inxmail angemeldet (ohne Opt-In verfahren) (Anmeldestatus-Verantwortung liegt bei Magento).</li><li>Ein Empfänger der nach Existenzprüfung in Inxmail nicht den Status ""angemeldet"" hat wird nicht übertragen</li></ul>"
"Column %s successfully created in Inxmail","Die Spalte %s wurde erfolgreich in Inxmail erstellt"
"Column %s already exist in Inxmail","Die Spalte %s ist in Inxmail bereits vorhanden"
"No post data","Keine Post Daten"
"No store set","Kein Store ausgewählt"
"No default store set","Kein Default Store ausgewählt"
"You are not allowed on this page.","Sie haben für diese Seite keine Erlaubnis."
"No subscriber to synchronize.","Kein Abonnent zu synchronisieren."
"Error synchronizing unsubscribed customers from Inxmail","Fehler beim Synchronisieren abgemeldeter Kunden von Inxmail"
"No customer to synchronize.","Kein Kunde zu synchronisieren."
"Type Date only","Typ nur Datum"
"Type Yes/No","Typ Ja/Nein"
"Type Integer","Typ Ganzzahl"
"Type Float","Typ Gleitkommazahl"
"Type Text","Typ Text"
"Last customers","Letzte Kunden"
"Best customers","Beste Kunden"
"Abandonned carts","Abgebrochene Warenkörbe"
"Orders configuration","Konfiguration Bestellungen"
"Orders configuration: Last X Days","Konfiguration Bestellungen: die letzten X Tage"
"Orders configuration: Date range From","Konfiguration Bestellungen: Anfangsdatum Bestellzeitraum"
"Orders configuration: Date range to","Konfiguration Bestellungen: Enddatum Bestellzeitraum"
"Get last customers since X days","Die letzten Kunden der letzten X Tage"
"Get customers whose sum of all orders is superior to X","Kunden, deren Bestellsumme höher als X ist"
"Get abandonned carts' customer since X days","Abgebrochene Warenkörbe von Kunden der letzten X Tage"
"Configuration to get orders","Konfiguration, um Bestellungen zu erhalten"
"Get orders since X days","Bestellungen der letzten X Tage"
"Get orders of specific date range (from)","Bestellungen ab einem bestimmten Startdatum"
"Get orders of specific date range (to)","Bestellungen bis zu einem bestimmten Enddatum"
"Last X Days","Die letzten X Tage"
"Date Range","Zeitraum"
"Orders (specific)","Bestellungen (spezifisch)"
"Gender","Geschlecht"
"Date Of Birth","Geburtstag"
"Prevent re-execution","Erneute Ausführung verhindern"
"Migration of the newsletter recipients to Inxmail","Migration der Newsletter-Empfänger nach Inxmail"
"The newsletter recipients should be migrated manually to Inxmail once per store view configuration. All recipients who are currently managed in Magento will thereby be merged with the recipients on the corresponding list in Inxmail according to the following rules:<ul style='list-style-type: circle; padding-left: 2em;'><li>If a recipient’s email address already exists on the Inxmail list, the recipient’s subscription status will not be changed in Inxmail. In this case, the status from Inxmail will be used in Magento (Inxmail has control over subscription status).</li><li>If a subscribed recipient in Magento does not exist in Inxmail (there are different reasons for this), then the recipient will be subscribed in Inxmail without the opt-in procedure (Magento has control over subscription status).</li><li>A recipient who does not have the ""subscribed"" status following an existence check in Inxmail will not be transferred.</li></ul>","Die Migration der Newsletter-Empfänger nach Inxmail sollte pro Store-View Konfiguration einmal manuell ausgeführt werden. Dadurch werden sämtliche, derzeit in Magento verwalteten Empfänger mit den Empfängern der entsprechenden Liste in Inxmail nach folgenden Regeln zusammengeführt:<ul style='list-style-type: circle; padding-left: 2em;'><li>Wenn eine E-Mail-Adresse eines Empfängers bereits in der Liste von Inxmail vorhanden ist, so wird der Anmeldestatus des Empfängers in Inxmail nicht verändert. In diesem Fall wird in Magento der Status aus Inxmail übernommen (Anmeldestatus-Verantwortung liegt bei Inxmail)</li><li>Ist ein in Magento angemeldeter Empfänger nicht in Inxmail vorhanden (aus unterschiedlichen Gründen), so wird der Empfänger ohne Opt-in-Verfahren in Inxmail angemeldet (Anmeldestatus-Verantwortung liegt bei Magento).</li><li>Ein Empfänger, der nach einer Existenzprüfung in Inxmail nicht den Status ""angemeldet"" hat, wird nicht übertragen.</li></ul>"
"Migration","Migration"
"Perform migration now","Migration jetzt durchführen"
"Merges all recipients of the selected store view from Magento with the corresponding Inxmail list","Führt alle Empfänger der gewählten Store-View aus Magento mit der entsprechenden Inxmail-Liste zusammen"
"Subscribers per transfer","Abonnenten pro Transfer"
"If opt-in control is managed by ‘Inxmail Professional’, the settings in Magento for newsletter management (System -> Configuration -> Customers -> Newsletter) are ignored. In this case, Magento will not send any emails for the newsletter registration process. This is the recommended setting. If, however, you want ‘Magento’ to be the managing system, please follow the instructions in the user manual.","Wenn die Opt-in-Steuerung durch „Inxmail Professional“ verwaltet wird, dann werden die Einstellungen von Magento zur Newsletterverwaltung (System -> Configuration -> Customers -> Newsletter) ignoriert. Insbesondere wird Magento dann keine E-Mails zum Newsletter-Registrierungsprozess senden. Dies ist die empfohlene Einstellung. Wenn Sie dennoch „Magento“ als das verwaltende System nutzen wollen, folgen Sie bitte den Hinweisen im Benutzerhandbuch."
"Opt-in control","Opt-in-Steuerung"
"Configuration","Konfiguration"
"Customer data mapping","Kundendaten-Zuordnung"
"Product data source","Produktdatenquelle"
"Synchronisation settings","Synchronisationseinstellungen"
"Magento customer attribute","Magento Kundenattribut"
"Inxmail Professional recipient attribute","Inxmail Professional Empfängerattribut"
"Delete","Löschen"
"Add mapping","Zuordnung hinzufügen"
"Synchronise unsubscriptions","Abmeldungen synchronisieren"
"Hourly","Stündlich"
